id,stationName,longitude,latitude
370,Calumet Ave & 21st St,-87.6191537415,41.85418424947
373,Kedzie Ave & Chicago Ave,-87.7061278837,41.89546530305
374,Western Ave & Walton St,-87.6865960164,41.89841768945
375,Sacramento Blvd & Franklin Blvd,-87.70103,41.889727
376,Artesian Ave & Hubbard St,-87.6882193648,41.88949181977
377,Kedzie Ave & Lake St,-87.7063037436,41.88460328501
378,California Ave & Lake St,-87.6962981368,41.88445395657
381,Western Ave & Monroe St,-87.686112808,41.8797877089
382,Western Ave & Congress Pkwy,-87.6864452757,41.87474885079
383,Paulina St & Flournoy St,-87.66913,41.87295
384,Halsted St & 51st St,-87.645213904,41.80183164049
385,Princeton Ave & Garfield Blvd,-87.633124,41.794982
386,Halsted St & 56th St,-87.6449900565,41.79292964599
388,Halsted St & 63rd St,-87.6446208145,41.77938114228
390,Wentworth Ave & 63rd St,-87.6297463052,41.78007963264
391,Halsted St & 69th St,-87.6446135779,41.76906172032
392,Perry Ave & 69th St,-87.6281959291,41.76929308995
393,Calumet Ave & 71st St,-87.616917925,41.76550800581
394,Clark St & 9th St (AMLI),-87.631246,41.870816
395,Jeffery Blvd & 76th St,-87.5758393587,41.75712006802
396,Yates Blvd & 75th St,-87.56644,41.758768
398,Rainbow Beach,-87.54938625,41.75787144829
399,South Shore Dr & 74th St,-87.55927465,41.76218896038
400,Cottage Grove Ave & 71st St,-87.604959713,41.76571903697
401,Shields Ave & 28th Pl,-87.635491,41.842733
402,Shields Ave & 31st St,-87.635406,41.838464
403,Wentworth Ave & 33rd St,-87.6318229814,41.83452988563
405,Wentworth Ave & 35th St,-87.632504,41.830777
406,Lake Park Ave & 35th St,-87.6087991946,41.83127423549
407,State St & Pershing Rd,-87.6265680185,41.82301523798
408,Union Ave & Root St,-87.643278,41.819102
409,Shields Ave & 43rd St,-87.6348193497,41.81620767856
410,Prairie Ave & 43rd St,-87.6194124619,41.81665889302
411,Halsted St & 47th Pl,-87.6456165545,41.80813391481
412,Princeton Ave & 47th St,-87.633449288,41.80931770924
413,Woodlawn Ave & Lake Park Ave,-87.5970051479,41.81409271048
414,Canal St & Taylor St,-87.639474,41.870257
415,Calumet Ave & 51st St,-87.6180535802,41.80229465088
416,Dorchester Ave & 49th St,-87.592464,41.805772
417,Cornell Ave & Hyde Park Blvd,-87.586924,41.802406
418,Ellis Ave & 53rd St,-87.6009581145,41.79933626261
419,Lake Park Ave & 53rd St,-87.5864498959,41.79949429373
420,Ellis Ave & 55th St,-87.6014497734,41.79430062054
421,MLK Jr Dr & 56th St (*),-87.6158532619,41.79342945658
422,DuSable Museum,-87.6078521774,41.79156801058
423,University Ave & 57th St,-87.599861,41.791478
424,Museum of Science and Industry,-87.583945009,41.79172820953
425,Harper Ave & 59th St,-87.5883151702,41.78794281287
426,Ellis Ave & 60th St,-87.6010727606,41.78509714636
427,Cottage Grove Ave & 63rd St,-87.606112388,41.78059901484
428,Dorchester Ave & 63rd St,-87.5914159893,41.7804056457
429,Cottage Grove Ave & 67th St,-87.60563486,41.77372095205
430,MLK Jr Dr & 63rd St,-87.6159428567,41.78008063659
431,Eberhart Ave & 61st St,-87.6133078304,41.78414169317
432,Clark St & Lunt Ave,-87.67419,42.009074
433,Kedzie Ave & Harrison St,-87.7048707493,41.87359967462
434,Ogden Ave & Roosevelt Rd,-87.68469707,41.86650148316
435,Kedzie Ave & Roosevelt Rd,-87.7064961757,41.86649278172
436,Fairfield Ave & Roosevelt Rd,-87.694521,41.866624
437,Washtenaw Ave & Ogden Ave (*),-87.693511,41.861894
438,Central Park Ave & Ogden Ave,-87.7154058381,41.85420431327
439,Kedzie Ave & 21st St,-87.7050730318,41.85353363213
440,Central Park Ave & 24th St,-87.715068,41.8481
441,Kedzie Ave & 24th St,-87.7054137458,41.84819094491
442,California Ave & 23rd Pl,-87.6951398068,41.84910969176
443,Millard Ave & 26th St,-87.7159103081,41.84456684891
444,Albany Ave & 26th St,-87.7020130128,41.84447501366
